Brand,Model,Release year,Screen size (inches),Hard drive size (GB),RAM size (GB),Weight (grams),Retail price,Industry,Contract Lease Duration (months),Actual Lease Duration (months),Battery capacity (%),Observed resale price
Crest,Elevation Elite,2016,15,512,16,1150,2739,Agriculture and Farming,12,13,87.66,1776
Crest,Elevation Elite,2016,15,512,16,1150,2789,Sports and Recreation,60,59,87.13,865
Crest,Elevation Elite,2016,15,512,16,1150,2669,Aerospace and Defense,24,27,92.75,1258
Crest,Elevation Elite,2016,15,512,16,1150,2719,Government and Public Sector,60,53,88.95,907
Crest,Elevation Elite,2016,15,512,16,1150,2639,Automotive and Transportation,36,36,89.65,940
Crest,Elevation Elite,2016,15,512,16,1150,2619,Advertising and Marketing,48,47,87.29,851
Crest,Elevation Elite,2016,15,512,16,1150,2739,Law and Legal Services,60,62,87.25,866
Crest,Elevation Elite,2016,15,512,16,1150,2679,Logistics and Supply Chain Management,12,13,91.88,1837
Crest,Elevation Elite,2016,15,512,16,1150,2729,Non-Profit Organizations,36,29,93.15,1379
Crest,PeakPro P9,2015,11,128,16,782,1599,Retail and E-Commerce,24,21,90.76,776
Crest,PeakPro P9,2015,17,128,4,1209,1399,Construction and Engineering,24,21,97.61,785
Crest,PeakPro P9,2015,13,512,4,924,1599,Logistics and Supply Chain Management,24,23,82.45,678
Crest,PeakPro P9,2015,13,512,4,924,1619,Manufacturing and Production,24,20,94.72,886
Crest,PeakPro P9,2015,11,128,16,782,1619,Information Technology,24,22,89.72,759
Crest,PeakPro P9,2015,11,128,16,782,1619,Media and Entertainment,12,12,96.22,1100
Crest,PeakPro P9,2015,11,128,16,782,1599,Government and Public Sector,24,25,84.29,687
Crest,PeakPro P9,2015,13,512,4,924,1719,Advertising and Marketing,48,37,89.09,621
Crest,PeakPro P9,2015,17,128,4,1209,1309,Education,36,34,93.12,475
Crest,PeakPro P9,2015,11,128,16,782,1649,Law and Legal Services,6,6,95.58,1476
Crest,PeakPro P9,2015,13,512,4,924,1599,Financial Services and Banking,60,57,94.47,547
Crest,PeakPro P9,2015,17,128,4,1209,1479,Retail and E-Commerce,12,11,87.59,978
Crest,PeakPro P9,2015,11,128,16,782,1599,Energy and Utilities,48,42,91.95,662
Crest,PeakPro P9,2015,11,128,16,782,1629,Automotive and Transportation,12,11,91.35,1154
Crest,PeakPro P9,2015,13,512,4,924,1669,Research and Development,12,11,93.25,1091
Crest,PeakPro P9,2015,11,128,16,782,1599,Energy and Utilities,12,11,95.8,1187
Crest,PeakPro P9,2015,13,512,4,924,1619,Manufacturing and Production,36,33,90.54,619
Crest,PeakPro P9,2015,17,128,4,1209,1429,Advertising and Marketing,24,20,77.68,593
Crest,PeakPro P9,2015,11,128,16,782,1549,Aerospace and Defense,60,53,91.94,542
Crest,PeakPro P9,2015,11,128,16,782,1639,Agriculture and Farming,36,35,83.19,565
Crest,PeakPro P9,2015,11,128,16,782,1619,Consulting,48,52,94.95,565
Crest,PeakPro P9,2015,17,128,4,1209,1429,Law and Legal Services,6,5,85.21,1220
Crest,PeakPro P9,2015,17,128,4,1209,1329,Real Estate and Property Management,12,10,93.93,959
Crest,PeakPro P9,2015,11,128,16,782,1659,Real Estate and Property Management,12,11,84.12,1138
Crest,PeakPro P9,2015,11,128,16,782,1599,Manufacturing and Production,24,26,99.32,719
Crest,PeakPro P9,2015,11,128,16,782,1569,Logistics and Supply Chain Management,12,11,82.75,1060
Crest,PeakPro P9,2015,17,128,4,1209,1319,Retail and E-Commerce,24,23,86.21,601
Crest,PeakPro P9,2015,11,128,16,782,1679,Telecommunications,60,67,92.31,545
Crest,PeakPro P9,2015,13,512,4,924,1629,Non-Profit Organizations,12,11,92.26,1268
Crest,PeakPro P9,2015,11,128,16,782,1669,Education,24,27,86.46,674
Crest,PeakPro P9,2015,17,128,4,1209,1359,Consulting,6,7,89.26,1093
Crest,PeakPro P9,2015,17,128,4,1209,1439,Consulting,24,27,91.94,621
Crest,PeakPro P9,2015,17,128,4,1209,1469,Law and Legal Services,24,26,90.56,702
Crest,PeakPro P9,2015,11,128,16,782,1589,Law and Legal Services,24,25,94.01,820
Crest,PeakPro P9,2015,11,128,16,782,1629,Energy and Utilities,48,46,88.32,505
Crest,PeakPro P9,2015,17,128,4,1209,1369,Sports and Recreation,24,22,96.1,789
Crest,PeakPro P9,2015,11,128,16,782,1589,Financial Services and Banking,24,25,92.65,749
Crest,PeakPro P9,2015,17,128,4,1209,1439,Event Management,6,5,93.33,1160
Crest,PeakPro P9,2015,17,128,4,1209,1369,Law and Legal Services,60,53,90.72,466
Crest,PeakPro P9,2015,17,128,4,1209,1429,Sports and Recreation,36,30,92.33,661
Crest,PeakPro P9,2015,13,512,4,924,1589,Law and Legal Services,6,6,74.18,1395
Crest,PeakPro P9,2015,11,128,16,782,1599,Retail and E-Commerce,12,9,89.21,1302
Crest,PeakPro P9,2015,17,128,4,1209,1459,Automotive and Transportation,36,32,95.28,605
Crest,PeakPro P9,2015,17,128,4,1209,1369,Research and Development,6,7,87.93,969
Crest,PeakPro P9,2015,11,128,16,782,1619,Financial Services and Banking,24,25,93.61,810
Crest,PeakPro P9,2015,13,512,4,924,1669,Government and Public Sector,48,46,78.46,440
Crest,PeakPro P9,2015,11,128,16,782,1589,Real Estate and Property Management,60,56,94.15,607
Crest,PeakPro P9,2015,13,512,4,924,1539,Consulting,6,5,89.11,1287
Crest,PeakPro P9,2015,17,128,4,1209,1489,Advertising and Marketing,60,65,91.67,417
Crest,PeakPro P9,2015,11,128,16,782,1659,Education,36,38,75.31,411
Crest,PeakPro P9,2015,11,128,16,782,1519,Research and Development,24,25,93.37,711
Crest,PeakPro P9,2015,11,128,16,782,1529,Construction and Engineering,48,52,87.98,435
Crest,PeakPro P9,2015,17,128,4,1209,1389,Manufacturing and Production,36,35,74.64,332
Crest,PeakPro P9,2015,17,128,4,1209,1449,Information Technology,6,5,93.48,1170
Crest,PeakPro P9,2015,17,128,4,1209,1399,Law and Legal Services,24,25,82.97,571
Crest,PeakPro P9,2015,13,512,4,924,1659,Education,60,55,90.28,535
Crest,PeakPro P9,2015,13,512,4,924,1569,Healthcare,36,34,89.11,600
Crest,PeakPro P9,2015,11,128,16,782,1689,Advertising and Marketing,36,33,94.04,717
Crest,PeakPro P9,2015,11,128,16,782,1639,Financial Services and Banking,24,24,96.41,896
Crest,PeakPro P9,2015,17,128,4,1209,1489,Construction and Engineering,24,22,93.67,731
Crest,PeakPro P9,2015,17,128,4,1209,1449,Telecommunications,24,21,98.0,767
Crest,PeakPro P9,2015,13,512,4,924,1589,Retail and E-Commerce,12,13,90.37,1072
Crest,PeakPro P9,2015,17,128,4,1209,1489,Construction and Engineering,12,13,88.65,946
Crest,PeakPro P9,2015,13,512,4,924,1599,Information Technology,12,13,89.9,1020
Crest,PeakPro P9,2015,11,128,16,782,1579,Research and Development,6,6,94.46,1429
Crest,PeakPro P9,2015,13,512,4,924,1589,Aerospace and Defense,36,40,93.96,637
Crest,PeakPro P9,2015,17,128,4,1209,1379,Healthcare,36,32,89.76,603
Crest,PeakPro P9,2015,11,128,16,782,1529,Education,60,65,87.46,445
Crest,PeakPro P9,2015,17,128,4,1209,1389,Aerospace and Defense,24,21,97.86,725
Crest,PeakPro P9,2015,13,512,4,924,1589,Real Estate and Property Management,12,12,86.34,1010
Crest,PeakPro P9,2015,17,128,4,1209,1379,Real Estate and Property Management,12,10,89.38,974
Crest,PeakPro P9,2015,13,512,4,924,1569,Law and Legal Services,12,12,72.89,882
Crest,PeakPro P9,2015,11,128,16,782,1649,Real Estate and Property Management,36,35,98.74,723
Crest,PeakPro P9,2015,17,128,4,1209,1399,Manufacturing and Production,36,36,93.59,522
Crest,PeakPro P9,2015,13,512,4,924,1549,Real Estate and Property Management,24,24,93.31,766
Crest,PeakPro P9,2015,17,128,4,1209,1319,Event Management,24,27,96.64,693
Crest,PeakPro P9,2015,13,512,4,924,1629,Construction and Engineering,6,7,92.68,1351
Crest,PeakPro P9,2015,11,128,16,782,1629,Law and Legal Services,60,65,84.21,441
Crest,PeakPro P9,2015,11,128,16,782,1649,Event Management,12,14,94.21,1007
Crest,PeakPro P9,2015,13,512,4,924,1559,Retail and E-Commerce,60,69,91.63,529
Crest,PeakPro P9,2015,17,128,4,1209,1379,Logistics and Supply Chain Management,12,12,90.0,988
Crest,PeakPro P9,2015,13,512,4,924,1549,Healthcare,6,7,87.67,1304
Crest,PeakPro P9,2015,17,128,4,1209,1369,Construction and Engineering,12,11,85.21,943
Crest,PeakPro P9,2015,11,128,16,782,1559,Real Estate and Property Management,36,34,91.66,755
Crest,PeakPro P9,2015,11,128,16,782,1589,Construction and Engineering,6,6,78.52,1251
Crest,PeakPro P9,2015,11,128,16,782,1629,Aerospace and Defense,36,36,96.44,658
Crest,PeakPro P9,2015,13,512,4,924,1599,Consulting,24,24,80.39,601
Crest,PeakPro P9,2015,17,128,4,1209,1399,Manufacturing and Production,12,12,84.86,845
Crest,PeakPro P9,2015,17,128,4,1209,1489,Information Technology,24,26,77.61,485
Crest,PeakPro P9,2015,11,128,16,782,1619,Energy and Utilities,12,9,92.37,1291
Crest,PeakPro P9,2015,11,128,16,782,1569,Non-Profit Organizations,12,11,85.26,1068
Crest,PeakPro P9,2015,11,128,16,782,1549,Media and Entertainment,12,10,88.56,1057
Crest,PeakPro P9,2015,17,128,4,1209,1389,Healthcare,12,12,83.63,910
Crest,PeakPro P9,2015,11,128,16,782,1639,Event Management,12,12,74.42,1090
Crest,PeakPro P9,2015,17,128,4,1209,1349,Financial Services and Banking,36,36,89.7,526
Crest,PeakPro P9,2015,13,512,4,924,1709,Consulting,24,22,95.25,945
Crest,PeakPro P9,2015,11,128,16,782,1619,Consulting,24,23,96.49,847
Crest,PeakPro P9,2015,11,128,16,782,1559,Travel and Hospitality,36,35,87.5,578
Crest,PeakPro P9,2015,13,512,4,924,1689,Logistics and Supply Chain Management,60,66,92.67,649
Crest,PeakPro P9,2015,13,512,4,924,1589,Advertising and Marketing,12,9,88.48,1062
Crest,PeakPro P9,2015,17,128,4,1209,1529,Real Estate and Property Management,12,12,91.42,1044
Crest,PeakPro P9,2015,11,128,16,782,1609,Research and Development,24,25,96.24,791
Crest,Pinnacle Prime,2018,12,256,4,846,999,Aerospace and Defense,12,13,89.7,637
Crest,Pinnacle Prime,2018,12,128,16,846,1599,Research and Development,48,48,89.01,494
Crest,Pinnacle Prime,2018,12,256,4,846,1019,Event Management,6,5,94.19,830
Crest,Pinnacle Prime,2018,12,128,16,846,1609,Construction and Engineering,60,61,93.15,553
Crest,Pinnacle Prime,2018,12,256,4,846,1029,Government and Public Sector,24,22,96.29,569
Crest,Pinnacle Prime,2018,12,256,4,846,979,Consulting,48,50,95.66,320
Crest,Pinnacle Prime,2018,12,256,4,846,1069,Logistics and Supply Chain Management,6,5,92.41,911
Crest,Pinnacle Prime,2018,12,256,4,846,1079,Logistics and Supply Chain Management,12,12,93.49,763
Crest,Pinnacle Prime,2018,12,256,4,846,999,Agriculture and Farming,60,57,80.55,258
Crest,Pinnacle Prime,2018,12,128,16,846,1559,Energy and Utilities,60,61,93.11,512
Crest,Pinnacle Prime,2018,12,128,16,846,1549,Government and Public Sector,36,39,82.84,500
Crest,Pinnacle Prime,2018,12,128,16,846,1689,Travel and Hospitality,48,44,81.22,447
Crest,Pinnacle Prime,2018,12,256,4,846,989,Financial Services and Banking,36,31,86.01,371
Crest,Pinnacle Prime,2018,12,256,4,846,929,Manufacturing and Production,36,30,86.64,366
Crest,Pinnacle Prime,2018,12,256,4,846,969,Information Technology,36,37,90.56,348
Crest,Pinnacle Prime,2018,12,128,16,846,1579,Healthcare,24,24,97.63,842
Crest,Pinnacle Prime,2018,12,128,16,846,1649,Advertising and Marketing,24,25,95.18,827
Crest,Pinnacle Prime,2018,12,256,4,846,929,Media and Entertainment,36,37,82.62,260
Crest,Pinnacle Prime,2018,12,128,16,846,1569,Aerospace and Defense,24,27,91.63,650
Crest,Pinnacle Prime,2018,12,128,16,846,1549,Event Management,6,5,92.06,1365
Crest,Pinnacle Prime,2018,12,256,4,846,1059,Information Technology,36,34,89.28,385
Crest,Pinnacle Prime,2018,12,128,16,846,1629,Event Management,60,53,91.31,500
Crest,Pinnacle Prime,2018,12,128,16,846,1609,Education,36,34,81.12,529
Crest,Pinnacle Prime,2018,12,256,4,846,899,Non-Profit Organizations,48,47,90.96,315
Crest,Pinnacle Prime,2018,12,128,16,846,1549,Logistics and Supply Chain Management,48,53,92.18,514
Crest,Pinnacle Prime,2018,12,256,4,846,1009,Retail and E-Commerce,48,51,82.05,287
Crest,Pinnacle Prime,2018,12,256,4,846,1029,Information Technology,12,12,88.64,671
Crest,Pinnacle Prime,2018,12,128,16,846,1609,Aerospace and Defense,12,11,97.47,1119
Crest,Pinnacle Prime,2018,12,128,16,846,1629,Logistics and Supply Chain Management,12,9,86.3,1267
Crest,Pinnacle Prime,2018,12,256,4,846,939,Media and Entertainment,36,40,86.29,274
Crest,Pinnacle Prime,2018,12,256,4,846,1009,Research and Development,12,9,95.58,748
Crest,Pinnacle Prime,2018,12,128,16,846,1619,Construction and Engineering,12,12,94.35,1141
Crest,Pinnacle Prime,2018,12,256,4,846,969,Retail and E-Commerce,48,38,85.26,328
Crest,Pinnacle Prime,2018,12,128,16,846,1539,Healthcare,60,60,96.1,569
Crest,Pinnacle Prime,2018,12,128,16,846,1589,Media and Entertainment,24,21,89.17,774
Crest,Pinnacle Prime,2018,12,256,4,846,1079,Information Technology,24,24,76.55,399
Crest,Pinnacle Prime,2018,12,128,16,846,1569,Information Technology,12,12,83.34,945
Crest,Pinnacle Prime,2018,12,256,4,846,1019,Retail and E-Commerce,24,27,85.18,461
Crest,Pinnacle Prime,2018,12,256,4,846,899,Education,36,33,90.85,364
Crest,Pinnacle Prime,2018,12,256,4,846,1009,Sports and Recreation,48,52,88.71,329
Crest,Pinnacle Prime,2018,12,256,4,846,1029,Retail and E-Commerce,24,25,89.29,513
Crest,Pinnacle Prime,2018,12,128,16,846,1569,Retail and E-Commerce,24,21,82.28,747
Crest,Pinnacle Prime,2018,12,128,16,846,1659,Non-Profit Organizations,36,37,71.44,413
Crest,Pinnacle Prime,2018,12,256,4,846,909,Information Technology,24,23,92.4,480
Crest,Pinnacle Prime,2018,12,128,16,846,1689,Law and Legal Services,36,38,90.57,668
Crest,Pinnacle Prime,2018,12,256,4,846,1039,Automotive and Transportation,24,22,98.14,544
Crest,Pinnacle Prime,2018,12,128,16,846,1649,Education,36,39,85.13,536
Crest,Pinnacle Prime,2018,12,128,16,846,1669,Government and Public Sector,48,47,87.84,594
Crest,Pinnacle Prime,2018,12,256,4,846,889,Consulting,6,5,93.06,739
Crest,Pinnacle Prime,2018,12,256,4,846,1059,Consulting,24,27,94.97,506
Crest,Pinnacle Prime,2018,12,256,4,846,909,Sports and Recreation,24,27,92.34,423
Crest,Pinnacle Prime,2018,12,256,4,846,959,Research and Development,36,33,79.82,274
Crest,Pinnacle Prime,2018,12,256,4,846,1009,Information Technology,60,64,92.56,301
Crest,Pinnacle Prime,2018,12,128,16,846,1669,Advertising and Marketing,12,12,97.14,1157
Crest,Pinnacle Prime,2018,12,128,16,846,1549,Construction and Engineering,6,4,85.47,1356
Crest,Pinnacle Prime,2018,12,256,4,846,1099,Sports and Recreation,24,23,86.53,530
Crest,Pinnacle Prime,2018,12,256,4,846,929,Government and Public Sector,36,32,87.82,386
Crest,Pinnacle Prime,2018,12,128,16,846,1649,Manufacturing and Production,24,21,90.81,889
Crest,Pinnacle Prime,2018,12,128,16,846,1529,Aerospace and Defense,6,5,95.03,1409
Crest,Pinnacle Prime,2018,12,256,4,846,1039,Event Management,48,48,99.18,445
Crest,Ridge Raider R6,2016,14,512,4,991,1699,Education,12,10,75.34,1162
Crest,Ridge Raider R6,2016,11,512,4,778,1499,Agriculture and Farming,24,25,90.58,720
Crest,Ridge Raider R6,2016,15,1028,16,1062,3699,Aerospace and Defense,24,23,98.0,1727
Crest,Ridge Raider R6,2016,14,512,4,991,1669,Energy and Utilities,48,53,93.28,621
Crest,Ridge Raider R6,2016,11,512,4,778,1449,Healthcare,48,41,93.27,597
Crest,Ridge Raider R6,2016,14,512,4,991,1749,Financial Services and Banking,36,37,82.15,565
Crest,Ridge Raider R6,2016,15,1028,16,1062,3709,Consulting,6,6,87.99,3100
Crest,Ridge Raider R6,2016,15,1028,16,1062,3699,Travel and Hospitality,48,41,95.72,1322
Crest,Ridge Raider R6,2016,11,512,4,778,1549,Non-Profit Organizations,36,40,65.42,238
Crest,Ridge Raider R6,2016,11,512,4,778,1509,Consulting,36,41,84.46,477
Crest,Ridge Raider R6,2016,15,1028,16,1062,3709,Retail and E-Commerce,24,26,91.57,1453
Crest,Ridge Raider R6,2016,11,512,4,778,1499,Agriculture and Farming,12,11,89.35,1065
Crest,Ridge Raider R6,2016,14,512,4,991,1749,Financial Services and Banking,6,6,90.71,1438
Crest,Ridge Raider R6,2016,11,512,4,778,1609,Sports and Recreation,48,39,91.51,607
Crest,Ridge Raider R6,2016,14,512,4,991,1719,Consulting,36,34,87.99,646
Crest,Ridge Raider R6,2016,14,512,4,991,1709,Telecommunications,24,22,91.51,899
Crest,Ridge Raider R6,2016,14,512,4,991,1709,Event Management,48,46,86.19,514
Crest,Ridge Raider R6,2016,14,512,4,991,1669,Healthcare,24,25,91.34,860
Crest,Ridge Raider R6,2016,11,512,4,778,1499,Telecommunications,36,26,92.59,668
Crest,Ridge Raider R6,2016,15,1028,16,1062,3679,Construction and Engineering,60,54,83.22,688
Crest,Ridge Raider R6,2016,14,512,4,991,1659,Consulting,48,42,74.92,360
Crest,Ridge Raider R6,2016,15,1028,16,1062,3739,Automotive and Transportation,24,23,97.61,1857
Crest,Ridge Raider R6,2016,14,512,4,991,1679,Advertising and Marketing,12,11,94.87,1279
Crest,Ridge Raider R6,2016,14,512,4,991,1659,Energy and Utilities,48,40,86.45,612
Crest,Ridge Raider R6,2016,14,512,4,991,1739,Event Management,24,23,94.92,911
Crest,Ridge Raider R6,2016,14,512,4,991,1769,Agriculture and Farming,12,12,86.13,1190
Crest,Ridge Raider R6,2016,11,512,4,778,1589,Retail and E-Commerce,24,26,96.81,807
Crest,Ridge Raider R6,2016,11,512,4,778,1539,Sports and Recreation,12,12,94.61,1021
Crest,Ridge Raider R6,2016,15,1028,16,1062,3839,Energy and Utilities,24,23,81.56,1574
Crest,Ridge Raider R6,2016,15,1028,16,1062,3759,Information Technology,48,49,97.0,1137
Crest,Ridge Raider R6,2016,15,1028,16,1062,3719,Law and Legal Services,48,53,83.16,853
Crest,Ridge Raider R6,2016,11,512,4,778,1449,Manufacturing and Production,24,24,91.17,754
Crest,Ridge Raider R6,2016,15,1028,16,1062,3739,Non-Profit Organizations,24,23,95.24,1792
Crest,Ridge Raider R6,2016,11,512,4,778,1549,Energy and Utilities,48,52,94.78,557
Crest,Ridge Raider R6,2016,15,1028,16,1062,3639,Healthcare,48,44,92.45,1258
Crest,Ridge Raider R6,2016,15,1028,16,1062,3629,Retail and E-Commerce,60,52,96.86,1245
Crest,Ridge Raider R6,2016,14,512,4,991,1699,Manufacturing and Production,36,32,96.73,719
Crest,Ridge Raider R6,2016,15,1028,16,1062,3699,Advertising and Marketing,36,29,87.93,1297
Crest,Ridge Raider R6,2016,15,1028,16,1062,3599,Agriculture and Farming,60,68,87.26,883
Crest,Ridge Raider R6,2016,14,512,4,991,1699,Retail and E-Commerce,36,27,85.67,742
Crest,Ridge Raider R6,2016,15,1028,16,1062,3759,Retail and E-Commerce,24,21,93.85,1692
Crest,Ridge Raider R6,2016,15,1028,16,1062,3759,Sports and Recreation,24,23,89.5,1621
Crest,Ridge Raider R6,2016,15,1028,16,1062,3739,Manufacturing and Production,36,30,83.22,1336
Crest,Ridge Raider R6,2016,11,512,4,778,1439,Government and Public Sector,60,63,93.52,531
Crest,Ridge Raider R6,2016,15,1028,16,1062,3619,Sports and Recreation,12,11,88.22,2235
Crest,Ridge Raider R6,2016,14,512,4,991,1719,Automotive and Transportation,24,25,93.95,924
Crest,Ridge Raider R6,2016,14,512,4,991,1759,Aerospace and Defense,12,12,86.3,1159
Crest,Ridge Raider R6,2016,14,512,4,991,1679,Non-Profit Organizations,6,5,78.83,1393
Crest,Ridge Raider R6,2016,15,1028,16,1062,3619,Logistics and Supply Chain Management,60,52,95.14,1105
Crest,Ridge Raider R6,2016,11,512,4,778,1519,Healthcare,36,40,87.97,489
Crest,Ridge Raider R6,2016,11,512,4,778,1539,Telecommunications,24,20,82.05,770
Crest,Ridge Raider R6,2016,14,512,4,991,1689,Telecommunications,6,5,81.47,1478
Crest,Ridge Raider R6,2016,11,512,4,778,1489,Retail and E-Commerce,6,5,86.32,1303
Crest,Ridge Raider R6,2016,11,512,4,778,1519,Education,12,14,94.05,868
Crest,Ridge Raider R6,2016,14,512,4,991,1709,Law and Legal Services,12,12,97.3,1111
Crest,Ridge Raider R6,2016,14,512,4,991,1669,Travel and Hospitality,24,20,88.62,839
Crest,Ridge Raider R6,2016,14,512,4,991,1649,Financial Services and Banking,12,13,95.31,1018
Crest,Ridge Raider R6,2016,15,1028,16,1062,3659,Agriculture and Farming,48,49,76.36,549
Crest,Ridge Raider R6,2016,14,512,4,991,1619,Agriculture and Farming,24,25,90.89,846
Crest,Ridge Raider R6,2016,14,512,4,991,1729,Retail and E-Commerce,48,45,85.94,570
Crest,Ridge Raider R6,2016,11,512,4,778,1519,Logistics and Supply Chain Management,24,27,88.06,586
Crest,Ridge Raider R6,2016,14,512,4,991,1729,Agriculture and Farming,24,27,80.93,713
Crest,Ridge Raider R6,2016,14,512,4,991,1639,Financial Services and Banking,60,64,88.76,461
Crest,Ridge Raider R6,2016,15,1028,16,1062,3669,Consulting,24,22,94.68,1707
Crest,Ridge Raider R6,2016,14,512,4,991,1729,Media and Entertainment,36,41,84.11,501
Crest,Ridge Raider R6,2016,11,512,4,778,1489,Advertising and Marketing,6,6,88.14,1191
Crest,Ridge Raider R6,2016,14,512,4,991,1559,Information Technology,12,12,94.14,1071
Crest,Ridge Raider R6,2016,15,1028,16,1062,3699,Telecommunications,6,6,90.72,3058
Crest,Ridge Raider R6,2016,15,1028,16,1062,3739,Media and Entertainment,24,23,93.33,1566
Crest,Ridge Raider R6,2016,11,512,4,778,1459,Logistics and Supply Chain Management,24,25,93.81,726
Crest,Ridge Raider R6,2016,11,512,4,778,1429,Logistics and Supply Chain Management,48,43,93.83,590
Crest,Ridge Raider R6,2016,14,512,4,991,1699,Non-Profit Organizations,12,12,91.87,1143
Crest,Ridge Raider R6,2016,14,512,4,991,1659,Aerospace and Defense,24,25,95.61,836
Crest,Ridge Raider R6,2016,15,1028,16,1062,3669,Advertising and Marketing,36,36,79.14,771
Crest,Ridge Raider R6,2016,15,1028,16,1062,3659,Sports and Recreation,24,21,96.57,1845
Crest,Ridge Raider R6,2016,15,1028,16,1062,3719,Information Technology,24,22,93.56,1797
Crest,Ridge Raider R6,2016,15,1028,16,1062,3679,Advertising and Marketing,12,11,88.38,2139
Crest,Ridge Raider R6,2016,11,512,4,778,1529,Financial Services and Banking,48,41,86.42,497
Crest,Ridge Raider R6,2016,14,512,4,991,1719,Advertising and Marketing,24,22,94.65,839
Crest,Summit S7,2018,12,256,4,939,999,Aerospace and Defense,24,24,89.76,480
Crest,Summit S7,2018,14,128,4,1095,889,Energy and Utilities,36,29,90.37,384
Crest,Summit S7,2018,12,256,4,939,1019,Consulting,24,22,90.95,473
Crest,Summit S7,2018,12,256,4,939,979,Automotive and Transportation,60,66,80.13,215
Crest,Summit S7,2018,14,128,4,1095,869,Education,24,25,91.57,420
Crest,Summit S7,2018,14,128,4,1095,959,Government and Public Sector,6,6,88.55,776
Crest,Summit S7,2018,12,256,4,939,1079,Government and Public Sector,36,32,86.28,415
Crest,Summit S7,2018,14,128,4,1095,889,Real Estate and Property Management,36,39,92.07,342
Crest,Summit S7,2018,12,256,4,939,989,Agriculture and Farming,36,33,93.47,448
Crest,Summit S7,2018,12,256,4,939,929,Automotive and Transportation,24,27,82.26,393
Crest,Summit S7,2018,14,128,4,1095,919,Information Technology,36,39,82.68,229
Crest,Summit S7,2018,12,256,4,939,999,Retail and E-Commerce,12,10,81.88,706
Crest,Summit S7,2018,12,256,4,939,1009,Government and Public Sector,12,11,94.4,795
Crest,Summit S7,2018,12,256,4,939,919,Construction and Engineering,24,28,96.95,442
Crest,Summit S7,2018,14,128,4,1095,869,Energy and Utilities,60,49,94.31,304
Crest,Summit S7,2018,14,128,4,1095,849,Energy and Utilities,48,58,91.53,275
Crest,Summit S7,2018,14,128,4,1095,899,Automotive and Transportation,36,28,81.7,321
Crest,Summit S7,2018,14,128,4,1095,889,Law and Legal Services,36,33,88.96,341
Crest,Summit S7,2018,12,256,4,939,929,Travel and Hospitality,60,65,93.45,314
Crest,Summit S7,2018,12,256,4,939,1009,Construction and Engineering,6,5,97.01,906
Crest,Summit S7,2018,14,128,4,1095,879,Education,60,66,93.63,295
Crest,Summit S7,2018,14,128,4,1095,879,Logistics and Supply Chain Management,36,31,77.65,280
Crest,Summit S7,2018,12,256,4,939,1009,Real Estate and Property Management,24,26,93.95,514
Crest,Summit S7,2018,12,256,4,939,1109,Energy and Utilities,12,11,82.44,748
